指挥官	类型	来源单位	当前CUnit	状态	缺运行时attack	缺运行时武器	缺命令卡接线	本地技能	本地武器	运行时技能	运行时武器	官方命令卡技能
斯台特曼	单位/英雄	BroodLordStetmann	BroodLordStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BroodLordStetmannBomberMagazine, BroodLordHangarStetmann, FenixClolarionHangarQueue5, BroodLordStetmannYamatoGun, BroodLordStetmannBroodlingEscortArm, BroodLordStetmannBroodlingEscortArmAugment	BroodlingStrikeStetmann, InterceptorStetmannBeam	stop, attack, move, BroodLordStetmannBomberMagazine, BroodLordHangarStetmann, BroodLordStetmannYamatoGun, HangarQueue5, FenixClolarionHangarQueue5, BroodLordStetmannBroodlingEscortArm, BroodLordStetmannBroodlingEscortArmAugment	BroodlingStrikeStetmann, InterceptorStetmannBeam	准备机械巢虫(BroodLordStetmannBroodlingEscortArmAugment), 建造机械飞蝗截击机(BroodLordStetmannBomberMagazine), 斯台特曼炮(BroodLordStetmannYamatoGun)
斯台特曼	单位/英雄	OverseerStetmann	OverseerStetmann	noncombat_or_no_weapon	否	否	无	stop, move, SpawnChangeling, Contaminate, OverseerMorphtoOverseerSiegeStetmann	无	stop, move, OverseerMorphtoOverseerSiegeStetmann, SpawnChangeling, Contaminate	无	超距视界(OverseerMorphtoOverseerSiegeStetmann)
斯台特曼	单位/英雄	OverseerStetmannSiegeMode	OverseerStetmannSiegeMode	noncombat_or_no_weapon	否	否	无	stop, move, SpawnChangeling, Contaminate, OverseerSiegeMorphtoOverseerStetmann	无	stop, move, OverseerSiegeMorphtoOverseerStetmann, SpawnChangeling, Contaminate	无	取消超距视界(OverseerSiegeMorphtoOverseerStetmann)
斯托科夫	单位/英雄	SIInfestedCivilian	SIInfestedCivilian	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowSIInfestedCivilianDown, StukovInfestedInfestedCivilianLeapAttack	SIInfestedCivilian	stop, attack, move, BurrowSIInfestedCivilianDown, StukovInfestedCivilianLeapAttack, SIStukovPlaceHordeMove, StukovInfestedInfestedCivilianLeapAttack	SIInfestedCivilian	潜地(BurrowSIInfestedCivilianDown)
斯托科夫	单位/英雄	SIInfestedMarine	SIInfestedMarine	ok_effective_combat_link	否	否	无	stop, BurrowSIInfestedMarineDown, attack, move	SIInfestedMarine	stop, attack, move, BurrowSIInfestedMarineDown, SIStukovPlaceHordeMove	SIInfestedMarine	潜地(BurrowSIInfestedMarineDown)
斯托科夫	单位/英雄	StukovInfestedSiegeTank	StukovInfestedSiegeTank	ok_effective_combat_link	否	否	无	stop, attack, StukovInfestedSiegeTankUproot, StukovInfestedSiegeTankDeepTunnel	StukovInfestedSiegeTank, StukovInfestedSiegeTankImpalerTentacle	stop, attack, StukovInfestedSiegeTankUproot, StukovInfestedSiegeTankDeepTunnel, StukovInfestedSiegeTankAmmoRestock, StukovInfestedSiegeTankAmmo	StukovInfestedSiegeTank, StukovInfestedSiegeTankImpalerTentacle	攻击(attack), 站起(StukovInfestedSiegeTankUproot), 深槽虫道(StukovInfestedSiegeTankDeepTunnel)
斯托科夫	单位/英雄	SIOverlord	SIOverlord	noncombat_or_no_weapon	否	否	无	stop, move, SIMorphToOverseer, GenerateCreepStukov	无	stop, move, TrainOverseerStukov, que1, OverlordTransportStukov, SIMorphToOverseer, GenerateCreepStukov	无	变异为眼虫(SIMorphToOverseer), 停止排放菌毯(GenerateCreepStukov)
斯托科夫	单位/英雄	StukovInfestedBanshee	StukovInfestedBanshee	ok_effective_combat_link	否	否	无	stop, attack, move, InfestedBansheeCloakingField, BurrowStukovInfestedBansheeDown, CommanderPrestigeStukovBansheeTransport, CommanderPrestigeStukovBansheesDeploy	StukovInfestedBacklashRockets	stop, attack, move, InfestedBansheeCloakingField, BurrowStukovInfestedBansheeDown, StukovBansheeTransport, StukovBansheesDeploy, CommanderPrestigeStukovBansheeTransport, CommanderPrestigeStukovBansheesDeploy	StukovInfestedBacklashRockets	远程部署(CommanderPrestigeStukovBansheesDeploy), 隐形(InfestedBansheeCloakingField), 取消隐形(InfestedBansheeCloakingField), 装载(CommanderPrestigeStukovBansheeTransport), 全部卸载(CommanderPrestigeStukovBansheeTransport), 潜地(BurrowStukovInfestedBansheeDown)
斯托科夫	单位/英雄	SILiberator	SILiberator	ok_effective_combat_link	否	否	无	stop, attack, move, SILiberatorSwarmFormLaunchAttack	SILiberator, SILiberatorSwarmFormPermanent, SILiberatorDummy	stop, attack, move, SILiberatorSwarmFormLaunchAttack	SILiberator, SILiberatorSwarmFormPermanent, SILiberatorDummy	无
斯托科夫	单位/英雄	StukovInfestedDiamondBack	StukovInfestedDiamondBack	ok_effective_combat_link	否	否	无	stop, attack, move, StukovInfestedDiamondbackSnare	StukovInfestedDiamondBack	stop, attack, move, StukovInfestedDiamondbackSnare	StukovInfestedDiamondBack	无
斯托科夫	单位/英雄	OverseerStukov	OverseerStukov	noncombat_or_no_weapon	否	否	无	无	无	stop, move, OverseerSiegeStukov	无	无
斯旺	单位/英雄	Cyclone	Cyclone	ok_effective_combat_link	否	否	无	CycloneWreckage	无	attack, stop, move, LockOnCancel, LockOn, CycloneWreckage	TyphoonMissilePod	锁定(LockOn), 取消(LockOnCancel), 锁定(LockOn), 取消(LockOnCancel)
斯旺	单位/英雄	HellionTank	HellionTank	ok_effective_combat_link	否	否	无	HellbatWreckage	无	stop, attack, move, MorphToHellion, HellbatWreckage	HellionTank	恶火模式(MorphToHellion)
斯旺	单位/英雄	Hercules	HerculesSwann	noncombat_or_no_weapon	否	否	无	无	无	stop, move, HerculesTransportSwann, HyperjumpSwann	无	战术跳跃(HyperjumpSwann)
斯旺	单位/英雄	ScienceVessel	ScienceVesselSwann	noncombat_or_no_weapon	否	否	无	无	无	stop, move, IrradiateSwann, NanoRepairSwann, DefensiveMatrixSwann, HyperjumpRSwann	无	战术跳跃(HyperjumpRSwann), NanoRepair(NanoRepairSwann), 防御矩阵(DefensiveMatrixSwann)
斯旺	单位/英雄	Hellion	Hellion	ok_effective_combat_link	否	否	无	HellionWreckage	无	stop, attack, move, MorphToHellionTank, HellionWreckage	InfernalFlameThrower	恶蝠模式(MorphToHellionTank)
斯旺	单位/英雄	Wraith	WraithSwann	noncombat_or_no_weapon	否	否	无	无	无	stop, attack, move, WraithCloakSwann	WraithASwann, WraithGSwann	无
斯旺	单位/英雄	SCV	SCV	ok_effective_combat_link	否	否	无	MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto, SprayTerran	无	stop, attack, move, Repair, SCVHarvest, TerranBuild, SprayTerran, GatherSpecialObject, CancelTerrazineHarvest, TerranBuildDrop, WorkerStopIdleAbilityVespene, MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto	FusionCutter	高级建造(AdvancedConstructionAuto)
斯旺	单位/英雄	Goliath	GoliathSwann	noncombat_or_no_weapon	否	否	无	无	无	stop, attack, move	GoliathASwann, GoliathGSwann	无
斯旺	单位/英雄	SiegeTank	SiegeTank	ok_effective_combat_link	否	否	无	SiegeTankWreckage, VehicleAfterburners	90mmCannonsLookAt	stop, attack, move, SiegeMode, SiegeTankWreckage, VehicleAfterburners	90mmCannons, 90mmCannonsFake, 90mmCannonsLookAt	攻城模式(SiegeMode)
斯旺	单位/英雄	ThorSwann	ThorSwann	noncombat_or_no_weapon	否	否	无	无	无	stop, attack, move, 330mmBarrageCannonsSwann	JavelinMissileLaunchersSwann, ThorsHammerSwann	无
泰凯斯	单位/英雄	TychusCoop	TychusCoop	ok_effective_combat_link	否	否	无	stop, move, attack, TychusShredderGrenade	TychusCoopChaingun	stop, move, attack, TychusShredderGrenade, TychusACBandofBrothers	TychusCoopChaingun, ##id##	粉碎者手雷(TychusShredderGrenade), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusGhost	TychusGhost	ok_effective_combat_link	否	否	无	stop, move, attack, TychusGhostDominate, TychusGhostPsychicSnare	##id##	stop, move, attack, TychusGhostDominate, TychusGhostPsychicSnare	##id##	支配(TychusGhostDominate), 灵能投射器(TychusGhostPsychicSnare), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusMedic	TychusMedic	ok_effective_combat_link	否	否	无	stop, move, attack, TychusMedivacHealPlusMech, TychusMedicDefensiveMatrix, TychusMedicAoE, TychusMedivacDoubleHealPlusMech	##id##	stop, move, attack, TychusMedivacHealPlusMech, TychusMedicDefensiveMatrix, TychusMedicAoE, TychusMedivacDoubleHealPlusMech	##id##	活力喷发(TychusMedicAoE), XM-77型矩阵发生器(TychusMedicDefensiveMatrix), 超级治疗(TychusMedivacDoubleHealPlusMech), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusFirebat	TychusFirebat	ok_effective_combat_link	否	否	无	stop, move, attack, TychusFirebatOilBomb	TychusFirebatFlameThrower	stop, move, attack, TychusFirebatOilBomb	TychusFirebatFlameThrower, ##id##	浮油(TychusFirebatOilBomb), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusHERC	TychusHERC	ok_effective_combat_link	否	否	无	stop, move, attack, TychusHercGrapple	##id##, TychusHERCWeapon	stop, move, attack, TychusHercGrapple	TychusHERCWeapon, ##id##	猛烈撞击(TychusHercGrapple), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusSpectre	TychusSpectre	ok_effective_combat_link	否	否	无	stop, move, attack, TychusSpectreUltrasonicPulse	##id##	stop, move, attack, TychusSpectreUltrasonicPulse	##id##	超声波脉冲(TychusSpectreUltrasonicPulse), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusWarhound	TychusWarhound	ok_effective_combat_link	否	否	无	stop, move, attack, TychusWarhoundTornadoSprayMissile, TychusWarhoundBuildAutoTurret, TychusWarhoundResearch	TychusWarhoundRailgun	stop, move, attack, TychusWarhoundTornadoSprayMissile, TychusWarhoundBuildAutoTurret, TychusWarhoundResearch	TychusWarhoundRailgun, ##id##	部署战狼炮台(TychusWarhoundBuildAutoTurret), SA-55型霹雳飞弹(TychusWarhoundTornadoSprayMissile), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusReaper	TychusReaper	ok_effective_combat_link	否	否	无	stop, move, attack, TychusReaperBomb, TychusReaperSuperCloak	TychusP38ScytheGuassPistol	stop, move, attack, TychusReaperBomb, TychusReaperSuperCloak	TychusP38ScytheGuassPistol, ##id##	爆破炸弹(TychusReaperBomb), 普罗希昂遮光服(TychusReaperSuperCloak), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	TychusMarauder	TychusMarauder	ok_effective_combat_link	否	否	无	stop, move, attack, TychusMarauderSuperStimpack, TychusMarauderBuildHealingWard	##id##, TychusPunisherGrenades	stop, move, attack, TychusMarauderSuperStimpack, TychusMarauderBuildHealingWard	TychusPunisherGrenades, ##id##	部署恢复器(TychusMarauderBuildHealingWard), 秘密储备强化剂(TychusMarauderSuperStimpack), 红色按钮(TychusOdinNuclearStrike)
泰凯斯	单位/英雄	Marauder	Marauder	ok_effective_combat_link	否	否	无	无	无	stop, attack, move	PunisherGrenades	使用强化剂(StimpackMarauder)
泰凯斯	单位/英雄	TychusSCV	TychusSCV	ok_effective_combat_link	否	否	无	stop, attack, move, Repair, SCVHarvest, TychusTerranBuild, MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, SprayTerran	FusionCutter	stop, attack, move, Repair, SCVHarvest, TychusTerranBuild, SprayTerran, MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund	FusionCutter	采集(SCVHarvest), 建造指挥中心(TychusTerranBuild), 建造精炼厂(TychusTerranBuild), 建造乔伊·雷酒吧(TychusTerranBuild), 建造工程站(TychusTerranBuild), 制造自动机炮(TychusTerranBuild), 建造枪王藏身处(TychusTerranBuild), 建造猛男军械库(TychusTerranBuild), 建造鬼手安全屋(TychusTerranBuild), 建造医疗运输机平台(TychusTerranBuild)
沃拉尊	单位/英雄	DarkTemplarShakuras	DarkTemplarShakuras	ok_effective_combat_link	否	否	无	DarkTemplarVoidStasis, DarkArchonMerge, DarkTemplarShadowDash	无	stop, attack, move, Warpable, BuildInProgress, ProgressRally, DarkTemplarBlink, DarkTemplarShadowFury, DarkTemplarVoidStasis, DarkArchonMerge, DarkTemplarShadowDash	WarpBlades	VoidDarkTemplarShadowFury(DarkTemplarShadowFury), 闪现(DarkTemplarShadowDash)
沃拉尊	单位/英雄	Oracle	Oracle	ok_effective_combat_link	否	否	无	无	无	stop, move, OracleRevelation, Warpable, attack, OracleWeapon, OracleStasisTrapBuild	Oracle	天启(OracleRevelation), 静滞结界(OracleStasisTrapBuild), 激活脉冲光线(OracleWeapon), 天启(OracleRevelation), 激活脉冲光线(OracleWeapon)
沃拉尊	单位/英雄	CorsairMP	CorsairMP	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, CorsairMPDisruptionWeb, ProgressRally	NeutronFlare	干扰网(CorsairMPDisruptionWeb)
沃拉尊	单位/英雄	Zealot	Zealot	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally, Charge	PsiBlades	冲锋(Charge)
沃拉尊	单位/英雄	ZealotShakuras	ZealotShakuras	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Warpable, ProgressRally, ShadowCharge, ShadowChargeStun	CenturionWarpBlades	无
沃拉尊	单位/英雄	Stalker	Stalker	ok_effective_combat_link	否	否	无	BlinkSlayer	无	stop, move, attack, Warpable, ProgressRally, Blink, BlinkSlayer	ParticleDisruptors	闪现(Blink)
沃拉尊	单位/英雄	VoidRay	VoidRay	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, VoidRaySwarmDamageBoost, Warpable, VoidRaySwarmDamageBoostCancel	VoidRayChargeBeamBase, VoidRaySwarmDisplayDummy	校准棱镜(VoidRaySwarmDamageBoost)
沃拉尊	单位/英雄	DarkArchon	DarkArchon	ok_effective_combat_link	否	否	无	FeedbackArchon, PsiStormArchon, DarkArchonMindControl, DarkArchonConfusion	DarkArchonWeapon	stop, attack, move, Mergeable, ProgressRally, Warpable, FeedbackArchon, PsiStormArchon, DarkArchonMergeable, DarkArchonMindControl, DarkArchonConfusion	PsionicShockwave, DarkArchonWeapon	无
扎加拉	单位/英雄	ZagaraVoidCoop	ZagaraVoidCoop	ok_effective_combat_link	否	否	无	attack, stop, move, ZagaraVoidCoopBanelingBarrage, ZagaraVoidCoopSpawnBroodlings, ZagaraVoidCoopCreepMaster, ZagaraVoidCoopSpawnHunterKillers, ZagaraVoidCoopSpawnMutalisk, ZagaraVoidCoopMassFrenzy, ZagaraVoidCoopWildInfestation, ZagaraVoidCoopDeepTunnel, ZagaraVoidCoopNydusWorm, ZagaraVoidCoopTransfusionWave, ZagaraVoidCoopDevouringMaw, ZagaraVoidCoopBurrow, ZagaraVoidCoopMassRoachDrop, CommanderPrestigeZagaraZagaraDeepTunnel	ZagaraVoidCoopRanged	attack, stop, move, ZagaraVoidCoopBanelingBarrage, ZagaraVoidCoopSpawnBroodlings, ZagaraVoidCoopCreepMaster, ZagaraVoidCoopSpawnHunterKillers, ZagaraVoidCoopSpawnMutalisk, ZagaraVoidCoopMassFrenzy, ZagaraVoidCoopWildInfestation, ZagaraVoidCoopDeepTunnel, ZagaraVoidCoopNydusWorm, ZagaraVoidCoopTransfusionWave, ZagaraVoidCoopDevouringMaw, ZagaraVoidCoopBurrow, ZagaraVoidCoopMassRoachDrop, CommanderPrestigeZagaraZagaraDeepTunnel	ZagaraVoidCoopRanged	深槽虫道(CommanderPrestigeZagaraZagaraDeepTunnel), ZagaraVoidCoopBanelingBarrage(ZagaraVoidCoopBanelingBarrage), ZagaraVoidCoopSpawnHunterKillers(ZagaraVoidCoopSpawnHunterKillers), 群体狂暴(ZagaraVoidCoopMassFrenzy), 潜地(ZagaraVoidCoopBurrow)
扎加拉	单位/英雄	InfestedAbomination	InfestedAbomination	noncombat_or_no_weapon	否	否	无	无	无	无	无	无
扎加拉	单位/英雄	Baneling	Baneling	ok_effective_combat_link	否	否	无	Explode	无	stop, attack, move, BurrowBanelingDown, VolatileBurstBuilding, ExplodeHeal, Explode	HotSBanelingExplode, VolatileBurstBuilding, HotSBanelingExplodeBuilding, HotSBanelingDummy	爆炸(Explode), 开启对建筑攻击(VolatileBurstBuilding), 潜地(BurrowBanelingDown), 出地(BurrowBanelingUp)
扎加拉	单位/英雄	Corruptor	Corruptor	ok_effective_combat_link	否	否	无	CausticSpray	无	CausticSpray, MorphToBroodLord, stop, attack, move	ParasiteSpore	腐化(Corruption), 变异为巢虫领主(MorphToBroodLord), 腐蚀喷液(CausticSpray), 腐蚀喷液(CausticSpray)
扎加拉	单位/英雄	Scourge	Scourge	ok_effective_combat_link	否	否	无	ScourgeDetonate, SuicideBuilding	SuicideBuilding	ScourgeDetonate, SuicideBuilding	SuicideBuilding	引爆(ScourgeDetonate), 关闭对建筑攻击(SuicideBuilding)
扎加拉	单位/英雄	SwarmQueen	SwarmQueen	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BurrowSwarmQueenDown, SwarmQueenTrain, SwarmQueenParasiticInvasion, MorphToLargeSwarmQueen, que1	SwarmQueenAcidSpines	无
扎加拉	单位/英雄	Zergling	ZagaraZergling	ok_effective_combat_link	否	否	无	MorphToBaneling	无	stop, attack, move, que1, BurrowZerglingDown, MorphToBaneling	Claws	变异为爆虫(MorphToBaneling), 潜地(BurrowZerglingDown), 出地(BurrowZerglingUp)
扎加拉	单位/英雄	Overseer	Overseer	noncombat_or_no_weapon	否	否	无	OverseerMorphtoOverseerSiege	无	stop, move, SpawnChangeling, Contaminate, ColonyInfestation, OverseerMorphtoOverseerSiegeMode, OverseerMorphtoOverseerSiege	无	无
泽拉图	单位/英雄	ZeratulDisruptor	ZeratulDisruptor	ok_effective_combat_link	否	否	无	stop, move, attack	ZeratulDisruptorWeapon	stop, move, attack	ZeratulDisruptorWeapon	净化新星(attack)
泽拉图	单位/英雄	ZeratulImmortal	ZeratulImmortal	ok_effective_combat_link	否	否	无	stop, attack, move, WarpableAnywhere, ProgressRally, ZeratulImmortalBarrierBase	ZeratulPhaseDisruptorsAir, ZeratulPhaseDisruptors, ZeratulPhaseDisruptorsLookAt	stop, attack, move, WarpableAnywhere, ProgressRally, ZeratulImmortalBarrierBase	ZeratulPhaseDisruptorsAir, ZeratulPhaseDisruptors, ZeratulPhaseDisruptorsLookAt	ImmortalBarrierBase(ZeratulImmortalBarrierBase)
泽拉图	单位/英雄	Observer	Observer	ok_effective_combat_link	否	否	无	attack, Warpable, ObserverMorphtoObserverSiege	无	stop, move, ObserverMorphtoObserverSiege, attack, Warpable	无	监察模式(ObserverMorphtoObserverSiege), 监察模式(ObserverMorphtoObserverSiege)
泽拉图	单位/英雄	ZeratulObserver	ZeratulObserver	ok_effective_combat_link	否	否	无	stop, move, attack, WarpableAnywhere, ZeratulObserverMorphtoZeratulObserverSiege	无	stop, move, attack, WarpableAnywhere, ZeratulObserverMorphtoZeratulObserverSiege	无	监察模式(ZeratulObserverMorphtoZeratulObserverSiege)
泽拉图	单位/英雄	ZeratulSentry	ZeratulSentry	ok_effective_combat_link	否	否	无	attack, stop, move, WarpableAnywhere, ZeratulReflectionShield, ProgressRally, BuildInProgress, ZeratulSentryShieldRepair	ZeratulDisruptionBeam	attack, stop, move, WarpableAnywhere, ZeratulReflectionShield, ProgressRally, BuildInProgress, ZeratulSentryShieldRepair	ZeratulDisruptionBeam	VoidSentryShieldRepair(ZeratulSentryShieldRepair), 反射护盾(ZeratulReflectionShield)
泽拉图	单位/英雄	ZeratulStalker	ZeratulStalker	ok_effective_combat_link	否	否	无	stop, move, attack, WarpableAnywhere, ProgressRally, ZeratulStalkerBlink	ZeratulParticleDisruptors	stop, move, attack, WarpableAnywhere, ProgressRally, ZeratulStalkerBlink	ZeratulParticleDisruptors	预判闪现(ZeratulStalkerBlink)
泽拉图	单位/英雄	ZeratulWarpPrism	ZeratulWarpPrism	noncombat_or_no_weapon	否	否	无	stop, move, ZeratulPhasingMode, WarpableAnywhere, ZeratulWarpPrismTransport, ZeratulWarpPrismSelectVoidRift	无	stop, move, ZeratulPhasingMode, WarpableAnywhere, ZeratulWarpPrismTransport, ZeratulWarpPrismSelectVoidRift	无	虫洞模式(ZeratulPhasingMode), 选择虫洞出口(ZeratulWarpPrismSelectVoidRift)
泽拉图	单位/英雄	ZeratulSummonZealot	ZeratulSummonZealot	ok_effective_combat_link	否	否	无	stop, attack, move, ZeratulCharge, ZeratulZealotWhirlwind, WarpableZeratul, RallyZeratulTopBar	SolariteReaper	stop, attack, move, ZeratulCharge, ZeratulZealotWhirlwind, WarpableZeratul, RallyZeratulTopBar	SolariteReaper	冲锋(ZeratulCharge), VoidZealotWhirlwind(ZeratulZealotWhirlwind)
阿巴瑟	建筑	SpineCrawler	SpineCrawler	ok_effective_combat_link	否	否	无	无	无	BuildInProgress, stop, attack, SpineCrawlerUproot	ImpalerTentacle	攻击(attack), 站起(SpineCrawlerUproot)
阿巴瑟	建筑	SporeCrawler	SporeCrawler	ok_effective_combat_link	否	否	无	无	无	BuildInProgress, stop, attack, SporeCrawlerUproot	AcidSpew	攻击(attack), 站起(SporeCrawlerUproot)
阿巴瑟	建筑	NydusNetwork	NydusNetwork	noncombat_or_no_weapon	否	否	无	RallyNydus	无	stop, RallyNydus, BuildInProgress, NydusCanalTransport, BuildNydusCanal	无	无
阿拉纳克	建筑	Gateway	Gateway	noncombat_or_no_weapon	否	否	无	que5notPassive	无	BuildInProgress, que5notPassive, GatewayTrain, Rally, UpgradeToWarpGate, GatewayTrainAI, UpgradeToWarpGateInstant	无	折跃死徒(GatewayTrain), 折跃保护者(GatewayTrain), 折跃追猎者(GatewayTrain), 折跃使徒(GatewayTrain), 折跃黑暗圣堂武士(GatewayTrain), 变形为折跃门(UpgradeToWarpGate)
阿拉纳克	建筑	PhotonCannon	PhotonCannon	ok_effective_combat_link	否	否	无	无	无	BuildInProgress, stop, attack	PhotonCannon	攻击(attack)
阿拉纳克	建筑	TwilightCouncil	TwilightCouncil	noncombat_or_no_weapon	否	否	无	无	无	BuildInProgress, que5, TwilightCouncilResearch, ChampionWarpTrain	无	研究鲜血护盾(TwilightCouncilResearch), 研究奇点充能(TwilightCouncilResearch), 研究旋风斩(TwilightCouncilResearch), 研究黑暗缠绕(TwilightCouncilResearch)
阿塔尼斯	建筑	Gateway	Gateway	noncombat_or_no_weapon	否	否	无	que5notPassive	无	BuildInProgress, que5notPassive, GatewayTrain, Rally, UpgradeToWarpGate, GatewayTrainAI, UpgradeToWarpGateInstant	无	折跃死徒(GatewayTrain), 折跃保护者(GatewayTrain), 折跃追猎者(GatewayTrain), 折跃使徒(GatewayTrain), 折跃黑暗圣堂武士(GatewayTrain), 变形为折跃门(UpgradeToWarpGate)
阿塔尼斯	建筑	PhotonCannon	PhotonCannon	ok_effective_combat_link	否	否	无	无	无	BuildInProgress, stop, attack	PhotonCannon	攻击(attack)
阿塔尼斯	建筑	RoboticsBay	RoboticsBay	noncombat_or_no_weapon	否	否	无	无	无	BuildInProgress, RoboticsBayResearch, que5	无	研究聚变迫击炮(RoboticsBayResearch)
阿塔尼斯	建筑	RoboticsFacilityWarp	RoboticsFacilityWarp	noncombat_or_no_weapon	否	否	无	无	无	BuildInProgress, RoboticsFacilityWarpTrain, RoboticsFacilityWarpTrainAI, MorphBackToRoboticsFacility	无	折跃侦测器(RoboticsFacilityWarpTrain), MorphBackToRoboticsFacility(MorphBackToRoboticsFacility)
阿塔尼斯	建筑	TwilightCouncil	TwilightCouncil	noncombat_or_no_weapon	否	否	无	无	无	BuildInProgress, que5, TwilightCouncilResearch, ChampionWarpTrain	无	研究鲜血护盾(TwilightCouncilResearch), 研究奇点充能(TwilightCouncilResearch), 研究旋风斩(TwilightCouncilResearch), 研究黑暗缠绕(TwilightCouncilResearch)
德哈卡	建筑	DehakaHatchery	DehakaHatchery	noncombat_or_no_weapon	否	否	无	DehakaHatcheryUproot, stop, PrimalBuildInProgress, DehakaHatcheryTrainEgg, que5Passive, RallyCommand, DehakaHatcheryBuild, DehakaHatcheryResearch	无	DehakaHatcheryUproot, stop, PrimalBuildInProgress, DehakaHatcheryTrainEgg, que5Passive, RallyCommand, DehakaHatcheryBuild, DehakaHatcheryResearch	无	孵化原始工蜂(DehakaHatcheryTrainEgg), 变异萃取房(DehakaHatcheryBuild), 设定工蜂集结点(RallyCommand), 进化原始攻击等级3(DehakaHatcheryResearch), 进化原始甲壳等级3(DehakaHatcheryResearch), PrimalBuildingUproot(DehakaHatcheryUproot)
德哈卡	建筑	DehakaAirTownHall	DehakaAirTownHall	ok_effective_combat_link	否	否	无	DehakaAirTownHallUproot, attack, stop, BuildInProgress, DehakaTownHallTrain, que5Passive, Rally	DehakaTownHallBaseWeapon	DehakaAirTownHallUproot, attack, stop, BuildInProgress, DehakaTownHallTrain, que5Passive, Rally	DehakaTownHallBaseWeapon	攻击(attack), DehakaMutalisk(DehakaTownHallTrain), DehakaGuardian(DehakaTownHallTrain), DehakaViper(DehakaTownHallTrain), PrimalBuildingUproot(DehakaAirTownHallUproot)
德哈卡	建筑	DehakaBarracks	DehakaBarracks	noncombat_or_no_weapon	否	否	无	DehakaBarracksUproot, stop, PrimalBuildInProgress, DehakaBarracksTrainEgg, que1, Rally	无	DehakaBarracksUproot, stop, PrimalBuildInProgress, DehakaBarracksTrainEgg, que1, Rally	无	孵化原始跳虫(DehakaBarracksTrainEgg), 孵化原始蟑螂(DehakaBarracksTrainEgg), 孵化原始刺蛇(DehakaBarracksTrainEgg), 孵化原始宿主(DehakaBarracksTrainEgg), 孵化原始雷兽(DehakaBarracksTrainEgg), PrimalBuildingUproot(DehakaBarracksUproot)
德哈卡	建筑	DehakaGlevigStructure	DehakaGlevigStructure	noncombat_or_no_weapon	否	否	无	PrimalBuildInProgress, que5, DehakaGlevigResearch	无	PrimalBuildInProgress, que5, DehakaGlevigResearch	无	进化神经胶原重组(DehakaGlevigResearch), 进化肌腱扩增(DehakaGlevigResearch)
德哈卡	建筑	DehakaMurvarStructure	DehakaMurvarStructure	noncombat_or_no_weapon	否	否	无	PrimalBuildInProgress, DehakaMurvarResearch, que5	无	PrimalBuildInProgress, DehakaMurvarResearch, que5	无	无
德哈卡	建筑	DehakaDakrunStructure	DehakaDakrunStructure	noncombat_or_no_weapon	否	否	无	PrimalBuildInProgress, DehakaDakrunStructureLearn, DehakaDakrunResearch, que5	无	PrimalBuildInProgress, DehakaDakrunStructureLearn, DehakaDakrunResearch, que5	无	进化野蛮冲锋(DehakaDakrunResearch), 进化治疗适性(DehakaDakrunResearch)
德哈卡	建筑	DehakaNydusDestroyer	DehakaNydusDestroyer	ok_effective_combat_link	否	否	无	BuildInProgress, stop, attack, move, NydusDestroyerDeepTunnel, NydusDestroyerBeam	DehakaNydusDestroyerWeapon	BuildInProgress, stop, attack, move, NydusDestroyerDeepTunnel, NydusDestroyerBeam	DehakaNydusDestroyerWeapon	攻击(attack)
菲尼克斯	建筑	Gateway	Gateway	noncombat_or_no_weapon	否	否	无	que5notPassive	无	BuildInProgress, que5notPassive, GatewayTrain, Rally, UpgradeToWarpGate, GatewayTrainAI, UpgradeToWarpGateInstant	无	折跃死徒(GatewayTrain), 折跃保护者(GatewayTrain), 折跃追猎者(GatewayTrain), 折跃使徒(GatewayTrain), 折跃黑暗圣堂武士(GatewayTrain), 变形为折跃门(UpgradeToWarpGate)
菲尼克斯	建筑	PhotonCannon	PhotonCannon	ok_effective_combat_link	否	否	无	无	无	BuildInProgress, stop, attack	PhotonCannon	攻击(attack)
